id,text,parent
C07BB04,Acebutolol och tiazider,
C07BB06,Bevantolol och tiazider,
C07BB07,Bisoprolol och tiazider,
C07BB52,"Metoprolol and thiazides, combinations",
C07BG,Alfa- och betareceptorblockerande medel och tiazider,
C07BG01,Labetalol och tiazider,
C07C,Beta-receptorblockerande medel och övriga diuretika,
C07CA,Beta-1- och beta-2-receptorblockerare och övriga diuretika,
C07CA02,Oxprenolol and other diuretics,
C07CA03,Pindolol och övriga diuretika,
C07CA17,Bopindolol and other diuretics,
C07CA23,Penbutolol and other diuretics,
C07CB,Selektiva beta-1-receptorblockerare och övriga diuretika,
C07CB02,Metoprolol och övriga diuretika,
C07CB03,Atenolol och övriga diuretika,
C07CB53,"Atenolol och andra diuretika, kombinationer",
C07CG,Alfa- och betareceptorblockerande medel och övriga diuretika,
C07CG01,Labetalol och övriga diuretika,
C07D,"Betablockerande medel, tiazider och övriga diuretika",
C07DA,"Icke-selektiva beta-receptorblockerare, tiazider och övriga diuretika",
C07DA06,"Timolol, tiazider och övriga diuretika",
C07DB,"Selektiva beta-receptorblockerare, tiazider och övriga diuretika",
C07DB01,"Atenolol, tiazider och övriga diuretika",
C07E,Betablockerare och kärlvidgande medel,
C07EA,Icke-selektiva beta-receptorblockerare och kärlvidgande medel,
C07EB,Selektiva beta-receptorblockerare och kärlvidgande medel,
C07F,Beta-receptorblockerande medel och övriga antihypertensiva,
C07FA,Icke-selektiva beta-receptorblockerare och andra antihypertens. medel,
C07FA05,Propranolol och andra antihypertensiva medel,
C07FB,Selektiva beta-receptorblockerare och andra antihypertensiva medel,
C07FB02,Metoprolol och andra antihypertensiva medel,
C07FB03,Atenolol och andra antihypertensiva medel,
C08CA03,Isradipin,
C08CA04,Nikardipin,
C08CA06,Nimodipin,
C08CA07,Nisoldipin,
C08CA08,Nitrendipin,
C08CA09,Lacidipin,
C08CA10,Nilvadipin,
C08CA11,Manidipin,
C08CA12,Barnidipine,
C08CA13,Lercanidipin,
C08CA14,Cilnidipin,
C08CA15,Benidipin,
C08CA55,"Nifedipin, kombinationer",
C08CX,Other selective calcium channel blockers with mainly vascular effects,
C08CX01,Mibefradil,
C08D,Kalciumantagonister med direkt hjärtselektiv effekt,
C08DA,Fenylalkylaminderivat,
C08DA01,Verapamil,
C08DA02,Gallopamil,
C08DA51,"Verapamil,kombinationer",
C08DB,Bensotiazepinderivat,
C08DB01,Diltiazem,
C08E,Icke-selektiva kalciumantagonister,
C08EA,Fenylalkylaminderivat,
C08EA01,Fendilin,
C08EA02,Bepridil,
C08EX,Övriga icke-selektiva kalciumantagonister,
C08EX01,Lidoflazin,
C08EX02,Perhexilin,
C08G,Kalciumantagonister och diuretika,
C08GA,Kalciumflödeshämmare och diuretika,
C08GA01,Nifedipine and diuretics,
C09AA06,Kinapril,
C09AA07,Benazepril,
C09AA09,Fosinopril,
C09AA10,Trandolapril,
C09AA11,Spirapril,
C09AA12,Delapril,
C09AA13,Moexipril,
C09AA14,Temokapril,
C09AA16,Imidapril,
C09BA01,Kaptopril+hydroklortiazid,
C09BA02,Enalapril och diuretika,
C09BA03,Lisinopril och diuretika,
C09BA04,Perinopril och diuretika,
C09BA05,Ramipril och diuretika,
C09BA06,Kinapril och diuretika,
C09BA07,Benazepril och diuretika,
C09BA09,Fosinopril och diuretika,
C09BA12,Delapril och diuretika,
C09BA13,Moexipril och diuretika,
C09BA15,Zofenopril och diuretika,
C09BB05,Ramipramil och Kalciumkanalblockerare,
C09BB10,Trandolapril med kalciumantagonister,
C09BB12,Delapril och kalciumantagonister,
C09CA02,Eprosartan,
C09CA05,Tasosartan,
C09CA06,Candesartan,
C09CA08,Olmesartan medoxomil,
C09DA01,Losartan och diuretika,
C09DA02,Eprosartan och diuretika,
C09DA03,Valsartan och hydroklortiazid,
C09DA08,Olmesartan medoxomil och diuretika,
C09XA01,Remikiren,
C10AA02,Lovastin,
C10AA08,Pitavastatin,
C10AA51,Simvastatin kombinationsförp.,
C10AA52,"Lovastatin, kombinationer",
C10AA53,"Pravastatin, komb",
C10AA55,"Atorvastatin, komb",
C10AB01,Klofibrat,
C10AB02,Bezafibrat,
C10AB03,Aluminiumklofibrat,
C10AB05,Fenofibrat,
C10AB06,Simfibrate,
C10AB07,Ronifibrate,
C10AB08,Ciprofibrat,
C10AB09,Etofibrate,
C10AB10,Clofibride,
C10AC01,Kolestyramin,
C10AC02,Kolestipol,
C10AC03,Colextran,
C10AD01,Niceritrol,
C10AD02,Nikotinsyra,
C10AD03,Nikofuranos,
C10AD04,Aluminiumnikotinat,
C10AD05,Nikotinylalkohol,
C10AD06,Acipimox,
C10AX01,Dextrotyroxin,
C10AX02,Probukol,
C10AX03,Tiadenol,
C10AX04,Benfluorex,
C10AX05,Meglutol,
C10AX06,Omega-3-triglycerider,
C10AX07,Magnesium pyridoxal 5-fodfat glutamat,
C10AX08,Policosanol,
C10AX09,Ezetimib,
C10BA01,Lovastatin och nikotinsyra,
C10BA02,Simvastatin och ezetimib,
C10BX,"HMG CoA reduktashämmare,  övriga kombinationer",
C10BX01,Simvastatin och ASA,
D01AA,Antibiotika,
D01AA01,Nystatin,
D01AA02,Natamycin,
D01AA03,Hachimycin,
D01AA04,Pecilocin,
D01AA06,Mepartricin,
D01AA07,Pyrrolnitrin,
D01AA08,Griseofulvin,
D01AA20,Kombinationer,
D01AC01,Klotrimazol,
D01AC02,Mikonazol,
D01AC03,Ekonazol,
D01AC04,Klomidazol,
D01AC05,Isoconazol,
D01AC06,Tiabendazol,
D01AC07,Tioconazol,
D01AC08,Ketokonazol,
D01AC09,Sulkonazol,
D01AC10,Bifonazol,
D01AC11,Metronidazol,
D01AC12,Fenticonazole,
D01AC13,Omoconazole,
D01AC14,Sertaconazol,
D01AC16,Flutrimazol,
D01AC20,Kombinationer,
D01AC52,"Mikonazol, kombinationer",
D01AC60,"Bifonazol, kombinationer",
D01AE,Övriga utvärtes medel vid hudmykoser,
D01AE01,Bromsalicylkloranilid,
D01AE02,Metylrosanilin,
D01AE03,Tribromometakresol,
D01AE04,Undecylensyra,
D01AE05,Polynoxylin,
D01AE06,Klorfenoxietanol,
D01AE07,Klorfenesin,
D01AE08,Tiklaton,
D01AE09,Sulbentin,
D01AE10,Etylparaoxibensoat,
D01AE11,Haloprogin,
D01AE12,Salicylsyra,
D01AE13,Selensulfid,
D01AE14,Ciklopirox,
D01AE15,Terbinafin,
D01AE16,Amorolfin,
D01AE17,Dimazole,
D01AE18,Tolnaftate,
D01AE19,Tolciclate,
D01AE20,Kombinationer,
D01AE21,Flucytosin,
D01AE22,Naftifin,
D01AE23,Butenafin,
D01AE54,"Undecylenic acid, comb",
D01B,Invärtes medel vid hudmykoser,
D01BA,Invärtes medel vid hudmykoser,
D01BA01,Griseofulvin,
D01BA02,Terbinafin,
D02,Hudskyddande och uppmjukande medel,
D02A,Hudskyddande och uppmjukande medel,
D02AA,Silikonpreparat,
D02AB,Zinkoxidpreparat,
D02AC,Paraffin- och fettpreparat,
D02AD,Flytande plaster,
D02AE,Karbamidpreparat,
D02AE01,Karbamid,
D02AE51,"Karbamid, kombinationer",
D02AF,Salicylsyrapreparat,
D02AX,Övriga hudskyddande och uppmjukande medel,
D02AX00,Övriga hudskyddande och uppmjukande medel,
D02B,Medel som skyddar mot UV-strålning,
D02BA,"Medel som skyddar mot UV-strålning,utvärtes",
D02BA01,Aminobensoesyraderivat,
D02BA02,Octinoxate,
D02BB,Medel som skyddar mot UV-strålning för systemiskt bruk,
D02BB01,Betakaroten,
D03AA,Fiskleverolja,
D03AX01,Cadexomerjod,
D03AX02,Dextranomer,
D03AX03,Dexpanthenol,
D03AX04,Calcium pantothenate,
D03AX05,Hyaluronic acid,
D03AX07,Glyceryl trinitrat,
D03AX08,Isosorbid dinitrat,
D03AX09,Crilanomer,
D03AX10,Enoxolon,
D03B,Enzymer,
D03BA,Proteolytiska enzymer,
D03BA01,Trypsin,
D03BA02,Clostridiopeptidaser,
D03BA52,"Klostridiopeptidase, kombinationer",
D04,Klådstillande medel,
D04A,Klådstillande medel,
D04AA,Antihistaminer till utvärtes bruk,
D04AA01,Thonzylamin,
D04AA02,Mepyramin,
D04AA03,Tenalidin,
D04AA04,Tripelenamin,
D04AA09,Kloropyramin,
D04AA10,Prometazin,
D04AA12,Tolpropamin,
D04AA13,Dimetindene,
D04AA14,Clemastine,
D04AA15,Bamipine,
D04AA22,Isotipendyl,
D04AA32,Difenhydramin,
D04AA33,Difenhydraminmetylbromid,
D04AA34,Klorfenoxamin,
D04AB,Lokalanestetika till utvärtes bruk,
D04AB01,Lidokain,
D04AB02,Cinkain,
D04AB03,Oxibuprokain,
D04AB04,Bensokain,
D04AB05,Kinisokain,
D04AB06,Tetracaine,
D04AB07,Pramocain,
D04AX,Övriga klådstillande medel,
D05AA,Tjäror,
D05AC,Antracenderivat,
D05AC01,Ditranol,
D05AC51,"Dithranol, kombinationer",
D05AD,Psoralener till utvärtes bruk,
D05AD01,"Trioxsalen, utvärtes",
D05AD02,Metoxalen,
D05AX01,Fumarsyra,
D05AX02,Kalcipotriol,
D05AX03,Calcitriol,
D05AX04,Tacalcitol,
D05AX05,Tazaroten,
D05B,Medel vid psoriasis till systemiskt bruk,
D05BA,Psoralener för systemiskt bruk,
D05BA01,Trioxysalen,
D05BA02,Metoxsalen,
D05BA03,Bergapten,
D05BB,Retinoider,
D05BB01,Etretinat,
D05BB02,Acitretin,
D05BX,Övriga medel vid psoriasis för systemiskt bruk,
D05BX51,Derivat av fumarinsyra kombinationer,
D06AA,Tetracyklin och derivat,
D06AA01,Demeklocyklin,
D06AA02,Klortetracyklin,
D06AA03,Oxitetracyklin,
D06AA04,Tetracyklin,
D06AX01,Fusidinsyra,
D06AX02,Kloramfenikol,
D06AX04,Neomycin,
D06AX05,Bacitracin,
D06AX07,Gentamicin,
D06AX08,Tyrotricin,
D06AX09,Mupirocin,
D06AX10,Virginiamycin,
D06AX11,Rifaximin,
D06AX12,Amikacin,
D06BA,Sulfonamider,
D06BA01,Silversulfadiazin,
D06BA02,Sulfatiazol,
D06BA03,Mafenid,
D06BA04,Sulfametiazol,
D06BA05,Sulfamilamid,
D06BA06,Sulfamerazin,
D06BA51,"Silversulfadiazin, kombinationer",
D06BB01,Idoxuridin,
D06BB02,Tromantadin,
D06BB03,Aciklovir,
D06BB04,Podofyllotoxin,
D06BB05,Inosin,
D06BB06,Penciklovir,
D06BB07,Lysozyme,
D06BB08,Ibacitabine,
D06BB09,Edoxudine,
D06BB11,Docosanol,
D06BX,Övriga kemoterapeutika,
D06BX01,Metronidazol,
D06C,Antibiotika och kemoterapeutika i kombination,
D07,Glukokortikoider till utvärtes bruk,
D07A,Glukokortikoider,
D07AA,Milt verkande,
D07AA01,Metylprednisolon,
D07AA02,Hydrokortison,
D07AA03,Prednisolon,
D07AB,Medelstarkt verkande,
D07AB01,Klobetason,
D07AB02,Hydrokortisonbutyrat,
D07AB03,Flumetason,
D07AB04,Fluocortin,
D07AB05,Fluperolon,
D07AB06,Fluorometolon,
D07AB07,Flupredniden,
D07AB08,Desonid,
D07AB09,Triamcinolon,
D07AB10,Alklometason,
D07AB11,Hydrocortisonbuteprat,
D07AB19,Dexamethasone,
D07AB21,Clocortolone,
D07AB30,Kombinationer av kortikosteroider,
D07AC,Starkt verkande,
D07AC01,Betametason,
D07AC02,Fluklorolon,
D07AC03,Desoximetason,
D07AC04,Fluocinolon,
D07AC05,Fluokortolon,
D07AC06,Diflucortolon,
D07AC07,Fludroxykortid,
D07AC08,Fluocinonid,
D07AC09,Budesonid,
D07AC10,Diflorason,
D07AC11,Amcinonid,
D07AC12,Halometason,
D07AC13,Mometason,
D07AC14,Metylprednisolonaceponat,
D07AC15,Beclometasone,
D07AC16,Hydrokortisonaceponat,
D07AC17,Flutikason,
D07AC18,Prednikarbat,
D07AC19,Difluprednat,
D07AC21,Ulobetasol,
D07AD,Extra starkt verkande,
D07AD01,Klobetasol,
D07AD02,Halcinonid,
D07B,Glukokortikoider i kombination med antiseptika,
D07BA,Milda glukokortikoider,
D07BA01,Prednisolon + antiseptika,
D07BA04,Hydrokortison + antiseptika,
D07BB,Medelstarka glukokortikoider,
D07BB01,Flumetason + antiseptika,
D07BB02,Desonid och antiseptika,
D07BB03,Triamcinolon + antiseptika,
D07BB04,Hydrokortisonbutyrat och antiseptika,
D07BC,Starka glukokortikoider,
D07BC01,Betametason + antiseptika,
D07BC02,Fluocinolon + antiseptika,
D07BC03,Fluokortolon och antiseptika,
D07BC04,Diflukortolon och antiseptika,
D07BD,"Mycket potenta kortikosteroider, komb med antiseptika",
D07C,Glukokortikoider i kombination med antibiotika,
D07CA,Milda glukokortikoider,
D07CA01,Hydrokortison + antibiotika,
D07CA02,Metylprednisolon + antibiotika,
D07CA03,Prednisolon + antibiotika,
D07CB,Medelstarka glukokortikoider,
D07CB01,Triamcinolon + antibiotika,
D07CB02,Flupredniden + antibiotika,
D07CB03,Fluorometolon + antibiotika,
D07CB04,Dexametason och antibiotika,
D07CB05,Flumetason och antibiotika,
D07CC,Starka glukokortikoider,
D07CC01,Betametason + antibiotika,
D07CC02,Fluocinolon + antibiotika,
D07CC03,Fludroxycortid + antobiotika,
D07CC04,Beclometasone and antibiotics,
D07CC05,Fluocinonid och antibiotika,
D07CC06,Fluocortolon och antibiotika,
D07CD,"Mycket potenta kortikosteroider, komb med antibiotika",
D07CD01,Clobetasol och antibiotika,
D07X,Glukokortikoider i kombination med andra  medel,
D07XA,Milda glukokortikoider + andra medel,
D07XA01,Hydrokortison,
D07XA02,Prednisolon,
D07XB,Medelstarka glukokortikoider + andra medel,
D07XB01,Flumetason,
D07XB02,Triamcinolon,
D07XB03,Flupredniden,
D07XB04,Fluorometolon,
D07XB05,Dexametason,
D07XB30,Kombinationer av kortikosteroider,
D07XC,Starka glukokortikoider + andra medel,
D07XC01,Betametason,
D07XC02,Desoximetason,
D07XC03,Mometason,
D07XC04,Diflucortolon,
D07XD,"Mycket potenta kortikosteroider, övriga kombinationer",
D08,Antiseptika och sårmedel,
D08A,Antiseptika och sårmedel,
D08AA,Akridinderivat,
D08AA01,Etakridinlaktat,
D08AA02,Aminoakridin,
D08AA03,Euflavin,
D08AB,Aluminiumföreningar,
D08AC,Biguanider och amidiner,
D08AC01,Dibrompropamidin,
D08AC02,Klorhexidin,
D08AC03,Propamidin,
D08AC04,Hexamidin,
D08AC05,Polihexanide,
D08AC52,"Klorhexidin, kombinationer",
D08AD,Borsyrapreparat,
D08AE,Fenol och derivat,
D08AE01,Hexaklorofen,
D08AE02,Polikresulen,
D08AE03,Fenol,
D08AE04,Triklosan,
D08AE05,Kloroxylenol,
D08AE06,Bifenylol,
D08AF,Nitrofuranderivat,
D08AF01,Nitrofural,
D08AG,Jodpreparat,
D08AG01,Iodine/octylphenoxypolyglycolether,
D08AG02,Povidon-jodid,
D08AG03,Jod,
D08AG04,Dijodhydroxipropan,
D08AH,Kinolinderivat,
D08AH01,Dekvalan,
D08AH02,Klorkinaldol,
D08AH03,Oxikinolin,
D08AH30,Kliokinol,
D08AJ,Kvartära ammoniumföreningar,
D08AJ01,Bensalkon,
D08AJ02,Cetrimon,
D08AJ03,Cetylpyridin,
D08AJ04,Cetrimon,
D08AJ05,Benzoxonium chloride,
D08AJ06,Didecyldimethylammonium chloride,
D08AJ57,"Octenidin, kombinationer",
D08AJ58,Benzetoniumklorid,
D08AJ59,"Dodekloniumbromid, kombinationer",
D08AK,Kvicksilverprodukter,
D08AK01,Merkuriamidoklorid,
D08AK02,Fenylmerkuriborat,
D08AK03,Kvicksilverklorid,
D08AK04,Merkurokrom,
D08AK05,"Kvicksilver, metallisk",
D08AK06,Tiomersal,
D08AK30,Kvicksilverjod,
D08AL,Silverföreningar,
D08AL01,Silvernitrat,
D08AL30,Silver,
D08AX,Övriga antiseptika och sårmedel,
D08AX01,Väteperoxid,
D08AX02,Eosin,
D08AX03,Propanol,
D08AX04,Tosylchloramide sodium,
D08AX05,Isopropanol,
D08AX06,Kaliumpermanganat,
D08AX07,Natriumhypoklorit,
D08AX08,Etanol,
D08AX53,"Propanol,  kombinationer",
D09,Medicinska förband,
D09A,Medicinska förband,
D09AA,Salvkompresser med antiinfektiva medel,
D09AA01,Framycetin,
D09AA02,Fusidinsyra,
D09AA03,Nitrofurazon,
D09AA04,Fenylmerkurinitrat,
D09AA05,Benzododecinium,
D09AA06,Triclosan,
D09AA07,Cetylpyridinium,
D09AA08,Aluminium chlorohydrate,
D09AA09,Povidone-iodine,
D09AA10,Clioquinol,
D09AA11,Benzalkonium,
D09AA12,Chlorhexidine,
D09AA13,Jodoform,
D09AB,Zinkbandage,
D09AB01,Zinklim,
D09AB02,Zinkbandage med tillägg,
D09AX,Paraffinförband,
D10AA,Glukokortikoider kombinationer,
D10AA01,Fluorometolon,
D10AA02,Metylprednisolon,
D10AA03,Dexametason,
D10AB,Medel innehållande svavel,
D10AB01,Bitionol,
D10AB02,Svavel,
D10AB03,Tioxolon,
D10AB05,Mesulfen,
D10AD01,Tretinoin,
D10AD02,Retinol,
D10AD03,Adapalen,
D10AD05,Motretinide,
D10AD51,"Tretinoin, kombinationer",
D10AD53,"adapalen, kombinationer",
D10AD54,"Isotretinoin, kombinationer",
D10AE,Peroxider,
D10AE01,Benzoylperoxid,
D10AE51,"Benzoylperoxid, kombinationer",
D10AF,Antiinfektiva medel mot akne,
D10AF01,Klindamycin,
D10AF02,Erytromycin,
D10AF03,Kloramfenikol,
D10AF04,Meclocycline,
D10AF51,Klindamycin kombinatiion,
D10AF52,"Erytromycin, kombinationer",
D10AX,Övriga utvärtes medel mot akne,
D10AX01,Aluminiumklorid,
D10AX02,Resorcinol,
D10AX03,Azelainsyra,
D10AX04,Aluminium oxide,
D10AX30,Kombinationer,
D10B,Medel mot akne för systemiskt bruk,
D10BA,Retinoider,
D10BA01,Isotretinoin,
D10BX,Other anti-acne preparations for systemic use,
D10BX01,Ichtasol,
D11AA,Antitranspirationsmedel,
D11AC,Medicinska schampon,
D11AC01,Cetrimon,
D11AC02,Kadmiumföreningar,
D11AC03,Selensulfid,
D11AC06,providon-jodid,
D11AC08,Svavelkombinationer,
D11AC09,Xenysalate,
D11AC30,Övrigt,
D11AE,Anabola steroider,
D11AE01,Metandienon,
D11AF,Vårtmedel,
D11AX01,Minoxidil,
D11AX02,Gamolensyra,
D11AX03,Kalciumglukonat,
D11AX04,Litiumsuccinat,
D11AX05,Magnesiumsulfat,
D11AX06,Mequinol,
D11AX08,Tiratricol,
D11AX09,Oxaceprol,
D11AX10,Finasterid,
D11AX11,Hydroquinon,
D11AX12,Pyritionzink,
D11AX13,Monobenzon,
D11AX14,Takrolimus,
D11AX15,Pimekrolimus,
D11AX17,Kromoglicinsyra,
D11AX18,Diklofenak,
D11AX52,"Gamolensyra, kombinationer",
D11AX57,"Kollagen, kombinationer",
G01,Antiinfektiva och antiseptiska medel för gynekologiskt bruk,
G01A,"Antiinfektiva och antiseptiska medel för gynekologiskt bruk, exkl kombinationer med glukokortikoider",
G01AA,Antibiotika,
G01AA01,Nystatin,
G01AA02,Natamycin,
G01AA03,Amfotericin B,
G01AA04,Kandicidin,
G01AA05,Kloramfenikol,
G01AA06,Hachimycin,
G01AA07,Oxytetracyklin,
G01AA08,Carfecillin,
G01AA09,Mepartricin,
G01AA10,Klindamycin,
G01AA11,Pentamycin,
G01AA51,"Nystatin, kombinationer",
G01AB,Arsenikföreningar,
G01AB01,Acetarsol,
G01AC,Kinolinderivat,
G01AC01,Dijodoxikinolin,
G01AC02,Kliokinol,
G01AC03,Klorkinaldol,
G01AC05,Dekvalon,
G01AC06,Broxikinolin,
G01AC30,Oxikinolin,
G01AD,Organiska syror,
G01AD01,Mjölksyra,
G01AD02,Ättiksyra,
G01AD03,Askorbinsyra,
G01AE,Sulfonamider,
G01AE01,Sulfatolamid,
G01AE10,Kombinationer,
G01AF,Imidazolderivat,
G01AF01,Metronidazol,
G01AF02,Klotrimazol,
G01AF04,Mikonazol,
G01AF05,Ekonazol,
G01AF06,Ornidazol,
G01AF07,Isokonazol,
G01AF08,Tiokonazol,
G01AF11,Ketokonazol,
G01AF12,Fentikonazol,
G01AF13,Azanidazole,
G01AF14,Propenidazole,
G01AF15,Butoconazol,
G01AF16,Omoconazole,
G01AF17,Oxiconazole,
G01AF18,Flutrimazol,
G01AF20,"Imidazolderivat, kombinationer",
G01AG,Triazolderivat,
G01AG02,Terkonazol,
G01AX,Övriga kemoterapeutika och antiseptika,
G01AX01,Klodantoin,
G01AX02,Inosin,
G01AX03,Kresolsulfonsyra-formaldehyd,
G01AX05,Nifuratel,
G01AX06,Nifurazolidon,
G01AX09,Metylrosanilin,
G01AX11,Providon-jodid,
G01AX12,Ciklopirox,
G01AX13,Protiofate,
G01AX14,Lactobacillus fermentum,
G01AX15,Koppar usnat,
G01AX66,"Octenidin, kombinationer",
G01B,Kemoterapeutika i kombination med glukokortikoider,
G01BA,Antibiotika och glukokortikoider,
G01BC,Kinolinderivat och glukokortikoider,
G01BD,Antiseptika och kortikosteroider,
G01BE,Sulfonamider och glukokortikoider,
G01BF,Imidazolderivat och kortikosteroider,
G02A,Uteruskontraherande medel,
G02AB,Mjöldrygealkaloider,
G02AB01,Metylergometrin,
G02AB02,Mjöldrygealkaloider,
G02AB03,Ergometrin,
G02AC,Kombinationer,
G02AC01,Metylergometrin och oxytocin,
G02AD,Prostaglandiner,
G02AD01,Dinoprost,
G02AD02,Dinoproston,
G02AD03,Gemeprost,
G02AD04,Karboprost,
G02AD05,Sulproston,
G02AX,Övriga uteruskontraherande medel,
G02B,Antikonceptionella medel för lokalt bruk,
G02BA,Antikonceptionella medel för intrauterint bruk,
G02BA01,Plastiskt intrauterint preventivmedel,
G02BA02,Plastiskt intrauterint preventivmedel med koppar,
G02BA03,Plastiskt intrauterint preventivmedel med progesteron,
G02BB,Antikonceptionella medel för vaginalt bruk,
G02BB01,Vaginalring med gestagen och östrogen,
G02CA,Uterusrelaxerande medel,
G02CA01,Ritodrin,
G02CA02,Bufenin,
G02CA03,Fenoterol,
G02CB01,Bromokriptin,
G02CB03,Kabergolin,
G02CB04,Kinagolid,
G02CB05,Metergolin,
G02CC,Antiinflammatoriska medel för vaginal administrering,
G02CC01,Ibuprofen,
G02CC02,Naproxen,
G02CC03,Benzydamine,
G02CC04,Flunoxaprofen,
G03AA01,Etynodiol + östrogener,
G03AA02,Kvingestanol + östrogen,
G03AA03,Lynestrenol + östrogen,
G03AA04,Megestrol + östrogen,
G03AA05,Noretisteron + östrogen,
G03AA06,Norgestrel + östrogen,
G03AA07,Levonorgestrel + östrogen,
G03AA08,Medroxiprogesteron och östrogen,
G03AA09,Desogestrel + östrogen,
G03AA10,Gestoden och östrogen,
G03AA11,Norgestimat + östrogen,
G03AA12,Drospirenon + östrogen,
G03AA13,Norelgestromin och östrogen,
G03AB,Gestagener + östrogener sekvenspreparat,
G03AB01,Megestrol och östrogen,
G03AB02,Lynestrenol + östrogen,
G03AB03,Levonorgestrel + östrogen,
G03AB04,Noretisteron + östrogen,
G03AB05,Desogestrel och östrogen,
G03AB06,Gestoden och östrogen,
G03AB07,Chlormadinone and estrogen,
G03AC01,Noretisteron,
G03AC02,Lynestrenol,
G03AC03,Levonorgestrel,
G03AC04,Kvingestanol,
G03AC05,Megestrol,
G03AC06,Medroxiprogesteron,
G03AC07,Norgestrienone,
G03AC09,Desogestrel,
G03BA01,Fluoximesteron,
G03BA02,Metyltestosteron,
G03BB,5-androstanonderivat,
G03BB01,Mesterolon,
G03BB02,Androstanolon,
G03C,Östrogener,
G03CA,Naturliga och halvsyntetiska östrogener,
G03CA01,Etinylöstradiol,
G03CA03,Östradiol,
G03CA04,Östriol,
G03CA06,Klortrianisen,
G03CA07,Estron,
G03CA09,Promestriene,
G03CA53,"Östradiol, kombinationer",
G03CA57,Östrogena substanser konjugerade,
G03CB,Syntetiska östrogener,
G03CB01,Dienöstrol,
G03CB02,Dietylstilbestrol,
G03CB03,Metallenestril,
G03CB04,Moxestrol,
G03CC,"Östrogener, kombinationer",
G03CC02,Dienöstrol,
G03CC03,Metallenöstrol,
G03CC04,Östron,
G03CC05,Dietylstilbestrol,
G03CC06,Östriol,
G03CX,Övriga östrogener,
G03CX01,Tibolon,
G03D,Gestagener (progestogener),
G03DA,Pregnenderivat,
G03DA01,Gestonoron,
G03DA02,Medroxiprogesteron,
G03DA03,Hydroxiprogesteron,
G03DA04,Progesteron,
G03DB,Pregnadienderivat,
G03DB01,Dydrogesteron,
G03DB02,Megestrol,
G03DB03,Medrogeston,
G03DB04,Nomegestrol,
G03DB05,Demegestone,
G03DB06,Chlormadinone,
G03DB07,Promegestone,
G03DC,Estrenderivat,
G03DC01,Allylestrenol,
G03DC02,Noretisteron,
G03DC03,Lynestrenol,
G03DC04,Etisteron,
G03DC05,Tibolon,
G03DC06,Etynodiol,
G03DC31,Metylestrenolon,
G03E,"Androgener och kvinnliga könshormoner, kombinationer",
G03EA,Androgener och östrogener,
G03EA01,Metyltestosteron och östrogen,
G03EA02,Testosteron och östrogen,
G03EA03,Prasteron och östrogen,
G03EB,"Androgener, progestogener och östrogener, kombinationer",
G03EK,Androgener och kvinnliga könshormoner i kombination med andra medel,
G03EK01,Metyltestosteron,
G03FA02,Hydroxyprogesteron + östrogen,
G03FA03,Etisteron och östrogen,
G03FA04,Progesteron + östrogen,
G03FA05,Metylnortestosteron och östrogen,
G03FA06,Etynodiol och östrogen,
G03FA07,Lynestrenol och östrogen,
G03FA08,Megestrol och östrogen,
G03FA09,Noretynodrel och östrogen,
G03FA10,Norgestrel och östrogen,
G03FA11,Levonorgestrel och östrogen,
G03FA12,Medroxyprogesteron + östrogen,
G03FA13,Norgestimat och östrogen,
G03FA14,Dydrogesteron + östrogen,
G03FA15,Dienogest + östrogen,
G03FA16,Trimegeston och östrogen,
G03FA17,Drosperinon o östrogen,
G03FB,"Gestagener i kombination med östrogener, sekvenspreparat",
G03FB01,Norgestrel + östrogen,
G03FB02,Lynestrenol och östrogen,
G03FB03,Klormadinon och östrogen,
G03FB04,Megestrol och östrogen,
G03FB05,Noretisteron + östrogen,
G03FB06,Medroxyprogesteron + östrogen,
G03FB07,Medrogeston och östrgen,
G03FB08,Dydrogesteron och östrogen,
G03FB09,Levonorgestrel + östrogen,
G03FB10,Desogestrel and estrogen,
G03FB11,Trimegeston + östrogen,
G03GA02,Menopausgonadotropin,
G03GA03,Gonadotropin serum,
G03GA04,Urofollitropin,
G03GA08,Koriongonadotropin alfa,
G03GB,Övriga ovulationsstimulerande medel,
G03GB01,Cyklofenil,
G03GB02,Klomifen,
G03GB03,Epimestrol,
G03H,Antiandrogener,
G03HA,Antiandrogener,
G03HA01,Cyproteron,
G03HB,Antiandrogener och östrogener,
G03HB01,Cyproteron och östrogen,
G03XA,Gonadotropinhämmare och liknande medel,
G03XA01,Danazol,
G03XA02,Gestrinon,
G04BA,Surgörande medel,
G04BA01,Ammoniumklorid,
G04BA03,Kalciumklorid,
G04BC,Medel för upplösning av urinsyrakonkrement,
G04BC90,Tiopronin,
G04BD01,Emepron,
G04BD02,Flavoxat,
G04BD03,Meladrazin,
G04BD05,Terodilin,
G04BD06,Propiverin,
G04BD07,Tolterodin,
G04BD08,Solifenazin,
G04BD09,Trospium,
G04BE01,Alprostadil,
G04BE02,Papaverin,
G04BE04,Yohimbin,
G04BE05,Fentolamin,
G04BE06,Moxisylat,
G04BE30,Kombinationer,
G04BE52,"Papaverin, kombinationer",
G04BX,Övriga urologiska medel,
G04BX01,Magnesiumhydroxid,
G04BX03,Acetonhydroxamic syra,
G04BX06,Fenazopyridin,
G04BX10,Succinimid,
G04BX11,Kollagen,
G04BX12,Phenyl salicylate,
