id,text,parent,
W2653,"Kontakt med dolk, kniv eller svärd-serviceområde-annan sysselsättning",,
V2654,"Motorcyklist skadad i kollision med annat ej motordrivet fordon, passagerare skadad i trafikolycka-vitalaktivitet",,
W2654,"Kontakt med dolk, kniv eller svärd-serviceområde-vitalaktivitet",,
V2658,"Motorcyklist skadad i kollision med annat ej motordrivet fordon, passagerare skadad i trafikolycka-andra aktiviteter",,
W2658,"Kontakt med dolk, kniv eller svärd-serviceområde-andra aktiviteter",,
V2659,"Motorcyklist skadad i kollision med annat ej motordrivet fordon, passagerare skadad i trafikolycka-ospec aktiviteter",,
W2659,"Kontakt med dolk, kniv eller svärd-serviceområde-ospec aktiviteter",,
W2660,"Kontakt med dolk, kniv eller svärd-industriområde-idrott",,
W2661,"Kontakt med dolk, kniv eller svärd-industriområde-lek,fritid",,
W2662,"Kontakt med dolk, kniv eller svärd-industriområde-förvärvsarbete",,
W2663,"Kontakt med dolk, kniv eller svärd-industriområde-annan sysselsättning",,
W2664,"Kontakt med dolk, kniv eller svärd-industriområde-vitalaktivitet",,
W2668,"Kontakt med dolk, kniv eller svärd-industriområde-andra aktiviteter",,
W2669,"Kontakt med dolk, kniv eller svärd-industriområde-ospec aktiviteter",,
W2670,"Kontakt med dolk, kniv eller svärd-lantbruksområde-idrott",,
W2671,"Kontakt med dolk, kniv eller svärd-lantbruksområde-lek,fritid",,
W2672,"Kontakt med dolk, kniv eller svärd-lantbruksområde-förvärvsarbete",,
W2673,"Kontakt med dolk, kniv eller svärd-lantbruksområde-annan sysselsättning",,
W2674,"Kontakt med dolk, kniv eller svärd-lantbruksområde-vitalaktivitet",,
W2678,"Kontakt med dolk, kniv eller svärd-lantbruksområde-andra aktiviteter",,
W2679,"Kontakt med dolk, kniv eller svärd-lantbruksområde-ospec aktiviteter",,
W2680,"Kontakt med dolk, kniv eller svärd-andra områden-idrott",,
W2681,"Kontakt med dolk, kniv eller svärd-andra områden-lek,fritid",,
W2682,"Kontakt med dolk, kniv eller svärd-andra områden-förvärvsarbete",,
W2683,"Kontakt med dolk, kniv eller svärd-andra områden-annan sysselsättning",,
W2684,"Kontakt med dolk, kniv eller svärd-andra områden-vitalaktivitet",,
W2688,"Kontakt med dolk, kniv eller svärd-andra områden-andra aktiviteter",,
W2689,"Kontakt med dolk, kniv eller svärd-andra områden-ospec aktiviteter",,
V269,Motorcycle rider injured in collision with other nonmotor vehicle: Unspecified motorcycle rider injured in traffic accident,,
V2690,"Motorcyklist skadad i kollision med annat ej motordrivet fordon, motorcyklist, icke specificerad, skadad i trafikolycka-idrott",,
W2690,"Kontakt med dolk, kniv eller svärd-ospec område-idrott",,
V2691,"Motorcyklist skadad i kollision med annat ej motordrivet fordon, motorcyklist, icke specificerad, skadad i trafikolycka-lek,fritid",,
W2691,"Kontakt med dolk, kniv eller svärd-ospec område-lek,fritid",,
V2692,"Motorcyklist skadad i kollision med annat ej motordrivet fordon, motorcyklist, icke specificerad, skadad i trafikolycka-förvärvsarbete",,
W2692,"Kontakt med dolk, kniv eller svärd-ospec område-förvärvsarbete",,
V2693,"Motorcyklist skadad i kollision med annat ej motordrivet fordon, motorcyklist, icke specificerad, skadad i trafikolycka-annan sysselsättning",,
W2693,"Kontakt med dolk, kniv eller svärd-ospec område-annan sysselsättning",,
V2694,"Motorcyklist skadad i kollision med annat ej motordrivet fordon, motorcyklist, icke specificerad, skadad i trafikolycka-vitalaktivitet",,
W2694,"Kontakt med dolk, kniv eller svärd-ospec område-vitalaktivitet",,
V2698,"Motorcyklist skadad i kollision med annat ej motordrivet fordon, motorcyklist, icke specificerad, skadad i trafikolycka-andra aktiviteter",,
W2698,"Kontakt med dolk, kniv eller svärd-ospec område-andra aktiviteter",,
V2699,"Motorcyklist skadad i kollision med annat ej motordrivet fordon, motorcyklist, icke specificerad, skadad i trafikolycka-ospec aktiviteter",,
W2699,"Kontakt med dolk, kniv eller svärd-ospec område-ospec aktiviteter",,
V27,Motorcycle rider injured in collision with fixed or stationary object,,
W27,Contact with nonpowered hand tool,,
V270,Motorcycle rider injured in collision with fixed or stationary object: Driver injured in nontraffic accident,,
V2700,"Motorcyklist skadad i kollision med fast eller stillastående föremål, förare skadad i olycka, ej trafik-idrott",,
W2700,Kontakt med ej motordrivet handverktyg-bostad-idrott,,
V2701,"Motorcyklist skadad i kollision med fast eller stillastående föremål, förare skadad i olycka, ej trafik-lek,fritid",,
W2701,"Kontakt med ej motordrivet handverktyg-bostad-lek,fritid",,
V2702,"Motorcyklist skadad i kollision med fast eller stillastående föremål, förare skadad i olycka, ej trafik-förvärvsarbete",,
W2702,Kontakt med ej motordrivet handverktyg-bostad-förvärvsarbete,,
V2703,"Motorcyklist skadad i kollision med fast eller stillastående föremål, förare skadad i olycka, ej trafik-annan sysselsättning",,
W2703,Kontakt med ej motordrivet handverktyg-bostad-annan sysselsättning,,
V2704,"Motorcyklist skadad i kollision med fast eller stillastående föremål, förare skadad i olycka, ej trafik-vitalaktivitet",,
W2704,Kontakt med ej motordrivet handverktyg-bostad-vitalaktivitet,,
V2708,"Motorcyklist skadad i kollision med fast eller stillastående föremål, förare skadad i olycka, ej trafik-andra aktiviteter",,
W2708,Kontakt med ej motordrivet handverktyg-bostad-andra aktiviteter,,
V2709,"Motorcyklist skadad i kollision med fast eller stillastående föremål, förare skadad i olycka, ej trafik-ospec aktiviteter",,
W2709,Kontakt med ej motordrivet handverktyg-bostad-ospec aktiviteter,,
V271,Motorcycle rider injured in collision with fixed or stationary object: Passenger injured in nontraffic accident,,
V2710,"Motorcyklist skadad i kollision med fast eller stillastående föremål, passagerare skadad i olycka, ej trafik-idrott",,
W2710,Kontakt med ej motordrivet handverktyg-institutionellt boende-idrott,,
V2711,"Motorcyklist skadad i kollision med fast eller stillastående föremål, passagerare skadad i olycka, ej trafik-lek,fritid",,
W2711,"Kontakt med ej motordrivet handverktyg-institutionellt boende-lek,fritid",,
V2712,"Motorcyklist skadad i kollision med fast eller stillastående föremål, passagerare skadad i olycka, ej trafik-förvärvsarbete",,
W2712,Kontakt med ej motordrivet handverktyg-institutionellt boende-förvärvsarbete,,
V2713,"Motorcyklist skadad i kollision med fast eller stillastående föremål, passagerare skadad i olycka, ej trafik-annan sysselsättning",,
W2713,Kontakt med ej motordrivet handverktyg-institutionellt boende-annan sysselsättning,,
V2714,"Motorcyklist skadad i kollision med fast eller stillastående föremål, passagerare skadad i olycka, ej trafik-vitalaktivitet",,
W2714,Kontakt med ej motordrivet handverktyg-institutionellt boende-vitalaktivitet,,
V2718,"Motorcyklist skadad i kollision med fast eller stillastående föremål, passagerare skadad i olycka, ej trafik-andra aktiviteter",,
W2718,Kontakt med ej motordrivet handverktyg-institutionellt boende-andra aktiviteter,,
V2719,"Motorcyklist skadad i kollision med fast eller stillastående föremål, passagerare skadad i olycka, ej trafik-ospec aktiviteter",,
W2719,Kontakt med ej motordrivet handverktyg-institutionellt boende-ospec aktiviteter,,
V272,Motorcycle rider injured in collision with fixed or stationary object: Unspecified motorcycle rider injured in nontraffic accident,,
V2720,"Motorcyklist skadad i kollision med fast eller stillastående föremål, motorcyklist, icke specificerad, skadad i olycka, ej trafik-idrott",,
W2720,"Kontakt med ej motordrivet handverktyg-skola, offentlig lokal-idrott",,
V2721,"Motorcyklist skadad i kollision med fast eller stillastående föremål, motorcyklist, icke specificerad, skadad i olycka, ej trafik-lek,fritid",,
W2721,"Kontakt med ej motordrivet handverktyg-skola, offentlig lokal-lek,fritid",,
V2722,"Motorcyklist skadad i kollision med fast eller stillastående föremål, motorcyklist, icke specificerad, skadad i olycka, ej trafik-förvärvsarbete",,
W2722,"Kontakt med ej motordrivet handverktyg-skola, offentlig lokal-förvärvsarbete",,
V2723,"Motorcyklist skadad i kollision med fast eller stillastående föremål, motorcyklist, icke specificerad, skadad i olycka, ej trafik-annan sysselsättning",,
W2723,"Kontakt med ej motordrivet handverktyg-skola, offentlig lokal-annan sysselsättning",,
V2724,"Motorcyklist skadad i kollision med fast eller stillastående föremål, motorcyklist, icke specificerad, skadad i olycka, ej trafik-vitalaktivitet",,
W2724,"Kontakt med ej motordrivet handverktyg-skola, offentlig lokal-vitalaktivitet",,
V2728,"Motorcyklist skadad i kollision med fast eller stillastående föremål, motorcyklist, icke specificerad, skadad i olycka, ej trafik-andra aktiviteter",,
W2728,"Kontakt med ej motordrivet handverktyg-skola, offentlig lokal-andra aktiviteter",,
V2729,"Motorcyklist skadad i kollision med fast eller stillastående föremål, motorcyklist, icke specificerad, skadad i olycka, ej trafik-ospec aktiviteter",,
W2729,"Kontakt med ej motordrivet handverktyg-skola, offentlig lokal-ospec aktiviteter",,
V273,Motorcycle rider injured in collision with fixed or stationary object: Person injured while boarding or alighting,,
V2730,"Motorcyklist skadad i kollision med fast eller stillastående föremål, person skadad vid av- och påstigning av motorcykel-idrott",,
W2730,Kontakt med ej motordrivet handverktyg-idrottsanläggning-idrott,,
V2731,"Motorcyklist skadad i kollision med fast eller stillastående föremål, person skadad vid av- och påstigning av motorcykel-lek,fritid",,
W2731,"Kontakt med ej motordrivet handverktyg-idrottsanläggning-lek,fritid",,
V2732,"Motorcyklist skadad i kollision med fast eller stillastående föremål, person skadad vid av- och påstigning av motorcykel-förvärvsarbete",,
W2732,Kontakt med ej motordrivet handverktyg-idrottsanläggning-förvärvsarbete,,
V2733,"Motorcyklist skadad i kollision med fast eller stillastående föremål, person skadad vid av- och påstigning av motorcykel-annan sysselsättning",,
W2733,Kontakt med ej motordrivet handverktyg-idrottsanläggning-annan sysselsättning,,
V2734,"Motorcyklist skadad i kollision med fast eller stillastående föremål, person skadad vid av- och påstigning av motorcykel-vitalaktivitet",,
W2734,Kontakt med ej motordrivet handverktyg-idrottsanläggning-vitalaktivitet,,
V2738,"Motorcyklist skadad i kollision med fast eller stillastående föremål, person skadad vid av- och påstigning av motorcykel-andra aktiviteter",,
W2738,Kontakt med ej motordrivet handverktyg-idrottsanläggning-andra aktiviteter,,
V2739,"Motorcyklist skadad i kollision med fast eller stillastående föremål, person skadad vid av- och påstigning av motorcykel-ospec aktiviteter",,
W2739,Kontakt med ej motordrivet handverktyg-idrottsanläggning-ospec aktiviteter,,
V274,Motorcycle rider injured in collision with fixed or stationary object: Driver injured in traffic accident,,
V2740,"Motorcyklist skadad i kollision med fast eller stillastående föremål, förare skadad i trafikolycka-idrott",,
W2740,Kontakt med ej motordrivet handverktyg-gata-idrott,,
V2741,"Motorcyklist skadad i kollision med fast eller stillastående föremål, förare skadad i trafikolycka-lek,fritid",,
W2741,"Kontakt med ej motordrivet handverktyg-gata-lek,fritid",,
V2742,"Motorcyklist skadad i kollision med fast eller stillastående föremål, förare skadad i trafikolycka-förvärvsarbete",,
W2742,Kontakt med ej motordrivet handverktyg-gata-förvärvsarbete,,
V2743,"Motorcyklist skadad i kollision med fast eller stillastående föremål, förare skadad i trafikolycka-annan sysselsättning",,
W2743,Kontakt med ej motordrivet handverktyg-gata-annan sysselsättning,,
V2744,"Motorcyklist skadad i kollision med fast eller stillastående föremål, förare skadad i trafikolycka-vitalaktivitet",,
W2744,Kontakt med ej motordrivet handverktyg-gata-vitalaktivitet,,
V2748,"Motorcyklist skadad i kollision med fast eller stillastående föremål, förare skadad i trafikolycka-andra aktiviteter",,
W2748,Kontakt med ej motordrivet handverktyg-gata-andra aktiviteter,,
V2749,"Motorcyklist skadad i kollision med fast eller stillastående föremål, förare skadad i trafikolycka-ospec aktiviteter",,
W2749,Kontakt med ej motordrivet handverktyg-gata-ospec aktiviteter,,
V275,Motorcycle rider injured in collision with fixed or stationary object: Passenger injured in traffic accident,,
V2750,"Motorcyklist skadad i kollision med fast eller stillastående föremål, passagerare skadad i trafikolycka-idrott",,
W2750,Kontakt med ej motordrivet handverktyg-serviceområde-idrott,,
V2751,"Motorcyklist skadad i kollision med fast eller stillastående föremål, passagerare skadad i trafikolycka-lek,fritid",,
W2751,"Kontakt med ej motordrivet handverktyg-serviceområde-lek,fritid",,
V2752,"Motorcyklist skadad i kollision med fast eller stillastående föremål, passagerare skadad i trafikolycka-förvärvsarbete",,
W2752,Kontakt med ej motordrivet handverktyg-serviceområde-förvärvsarbete,,
V2753,"Motorcyklist skadad i kollision med fast eller stillastående föremål, passagerare skadad i trafikolycka-annan sysselsättning",,
W2753,Kontakt med ej motordrivet handverktyg-serviceområde-annan sysselsättning,,
V2754,"Motorcyklist skadad i kollision med fast eller stillastående föremål, passagerare skadad i trafikolycka-vitalaktivitet",,
W2754,Kontakt med ej motordrivet handverktyg-serviceområde-vitalaktivitet,,
V2758,"Motorcyklist skadad i kollision med fast eller stillastående föremål, passagerare skadad i trafikolycka-andra aktiviteter",,
W2758,Kontakt med ej motordrivet handverktyg-serviceområde-andra aktiviteter,,
V2759,"Motorcyklist skadad i kollision med fast eller stillastående föremål, passagerare skadad i trafikolycka-ospec aktiviteter",,
W2759,Kontakt med ej motordrivet handverktyg-serviceområde-ospec aktiviteter,,
W2760,Kontakt med ej motordrivet handverktyg-industriområde-idrott,,
W2761,"Kontakt med ej motordrivet handverktyg-industriområde-lek,fritid",,
W2762,Kontakt med ej motordrivet handverktyg-industriområde-förvärvsarbete,,
W2763,Kontakt med ej motordrivet handverktyg-industriområde-annan sysselsättning,,
W2764,Kontakt med ej motordrivet handverktyg-industriområde-vitalaktivitet,,
W2768,Kontakt med ej motordrivet handverktyg-industriområde-andra aktiviteter,,
W2769,Kontakt med ej motordrivet handverktyg-industriområde-ospec aktiviteter,,
W2770,Kontakt med ej motordrivet handverktyg-lantbruksområde-idrott,,
W2771,"Kontakt med ej motordrivet handverktyg-lantbruksområde-lek,fritid",,
W2772,Kontakt med ej motordrivet handverktyg-lantbruksområde-förvärvsarbete,,
W2773,Kontakt med ej motordrivet handverktyg-lantbruksområde-annan sysselsättning,,
W2774,Kontakt med ej motordrivet handverktyg-lantbruksområde-vitalaktivitet,,
W2778,Kontakt med ej motordrivet handverktyg-lantbruksområde-andra aktiviteter,,
W2779,Kontakt med ej motordrivet handverktyg-lantbruksområde-ospec aktiviteter,,
W2780,Kontakt med ej motordrivet handverktyg-andra områden-idrott,,
W2781,"Kontakt med ej motordrivet handverktyg-andra områden-lek,fritid",,
W2782,Kontakt med ej motordrivet handverktyg-andra områden-förvärvsarbete,,
W2783,Kontakt med ej motordrivet handverktyg-andra områden-annan sysselsättning,,
W2784,Kontakt med ej motordrivet handverktyg-andra områden-vitalaktivitet,,
W2788,Kontakt med ej motordrivet handverktyg-andra områden-andra aktiviteter,,
W2789,Kontakt med ej motordrivet handverktyg-andra områden-ospec aktiviteter,,
V279,Motorcycle rider injured in collision with fixed or stationary object: Unspecified motorcycle rider injured in traffic accident,,
V2790,"Motorcyklist skadad i kollision med fast eller stillastående föremål, motorcyklist, icke specificerad, skadad i trafikolycka-idrott",,
W2790,Kontakt med ej motordrivet handverktyg-ospec område-idrott,,
V2791,"Motorcyklist skadad i kollision med fast eller stillastående föremål, motorcyklist, icke specificerad, skadad i trafikolycka-lek,fritid",,
W2791,"Kontakt med ej motordrivet handverktyg-ospec område-lek,fritid",,
V2792,"Motorcyklist skadad i kollision med fast eller stillastående föremål, motorcyklist, icke specificerad, skadad i trafikolycka-förvärvsarbete",,
W2792,Kontakt med ej motordrivet handverktyg-ospec område-förvärvsarbete,,
V2793,"Motorcyklist skadad i kollision med fast eller stillastående föremål, motorcyklist, icke specificerad, skadad i trafikolycka-annan sysselsättning",,
W2793,Kontakt med ej motordrivet handverktyg-ospec område-annan sysselsättning,,
V2794,"Motorcyklist skadad i kollision med fast eller stillastående föremål, motorcyklist, icke specificerad, skadad i trafikolycka-vitalaktivitet",,
W2794,Kontakt med ej motordrivet handverktyg-ospec område-vitalaktivitet,,
V2798,"Motorcyklist skadad i kollision med fast eller stillastående föremål, motorcyklist, icke specificerad, skadad i trafikolycka-andra aktiviteter",,
W2798,Kontakt med ej motordrivet handverktyg-ospec område-andra aktiviteter,,
V2799,"Motorcyklist skadad i kollision med fast eller stillastående föremål, motorcyklist, icke specificerad, skadad i trafikolycka-ospec aktiviteter",,
W2799,Kontakt med ej motordrivet handverktyg-ospec område-ospec aktiviteter,,
V28,Motorcycle rider injured in noncollision transport accident,,
W28,Contact with powered lawnmower,,
V280,Motorcycle rider injured in noncollision transport accident: Driver injured in nontraffic accident,,
V2800,"Motorcyklist skadad i transportolycka, ej kollision, förare skadad i olycka, ej trafik-idrott",,
W2800,Kontakt med motordriven gräsklippare-bostad-idrott,,
V2801,"Motorcyklist skadad i transportolycka, ej kollision, förare skadad i olycka, ej trafik-lek,fritid",,
W2801,"Kontakt med motordriven gräsklippare-bostad-lek,fritid",,
V2802,"Motorcyklist skadad i transportolycka, ej kollision, förare skadad i olycka, ej trafik-förvärvsarbete",,
W2802,Kontakt med motordriven gräsklippare-bostad-förvärvsarbete,,
V2803,"Motorcyklist skadad i transportolycka, ej kollision, förare skadad i olycka, ej trafik-annan sysselsättning",,
W2803,Kontakt med motordriven gräsklippare-bostad-annan sysselsättning,,
V2804,"Motorcyklist skadad i transportolycka, ej kollision, förare skadad i olycka, ej trafik-vitalaktivitet",,
W2804,Kontakt med motordriven gräsklippare-bostad-vitalaktivitet,,
V2808,"Motorcyklist skadad i transportolycka, ej kollision, förare skadad i olycka, ej trafik-andra aktiviteter",,
W2808,Kontakt med motordriven gräsklippare-bostad-andra aktiviteter,,
V2809,"Motorcyklist skadad i transportolycka, ej kollision, förare skadad i olycka, ej trafik-ospec aktiviteter",,
W2809,Kontakt med motordriven gräsklippare-bostad-ospec aktiviteter,,
V281,Motorcycle rider injured in noncollision transport accident: Passenger injured in nontraffic accident,,
V2810,"Motorcyklist skadad i transportolycka, ej kollision, passagerare skadad i olycka, ej trafik-idrott",,
W2810,Kontakt med motordriven gräsklippare-institutionellt boende-idrott,,
V2811,"Motorcyklist skadad i transportolycka, ej kollision, passagerare skadad i olycka, ej trafik-lek,fritid",,
W2811,"Kontakt med motordriven gräsklippare-institutionellt boende-lek,fritid",,
V2812,"Motorcyklist skadad i transportolycka, ej kollision, passagerare skadad i olycka, ej trafik-förvärvsarbete",,
W2812,Kontakt med motordriven gräsklippare-institutionellt boende-förvärvsarbete,,
V2813,"Motorcyklist skadad i transportolycka, ej kollision, passagerare skadad i olycka, ej trafik-annan sysselsättning",,
W2813,Kontakt med motordriven gräsklippare-institutionellt boende-annan sysselsättning,,
V2814,"Motorcyklist skadad i transportolycka, ej kollision, passagerare skadad i olycka, ej trafik-vitalaktivitet",,
W2814,Kontakt med motordriven gräsklippare-institutionellt boende-vitalaktivitet,,
V2818,"Motorcyklist skadad i transportolycka, ej kollision, passagerare skadad i olycka, ej trafik-andra aktiviteter",,
W2818,Kontakt med motordriven gräsklippare-institutionellt boende-andra aktiviteter,,
V2819,"Motorcyklist skadad i transportolycka, ej kollision, passagerare skadad i olycka, ej trafik-ospec aktiviteter",,
W2819,Kontakt med motordriven gräsklippare-institutionellt boende-ospec aktiviteter,,
V282,Motorcycle rider injured in noncollision transport accident: Unspecified motorcycle rider injured in nontraffic accident,,
V2820,"Motorcyklist skadad i transportolycka, ej kollision, motorcyklist, icke specificerad, skadad i olycka, ej trafik-idrott",,
W2820,"Kontakt med motordriven gräsklippare-skola, offentlig lokal-idrott",,
V2821,"Motorcyklist skadad i transportolycka, ej kollision, motorcyklist, icke specificerad, skadad i olycka, ej trafik-lek,fritid",,
W2821,"Kontakt med motordriven gräsklippare-skola, offentlig lokal-lek,fritid",,
V2822,"Motorcyklist skadad i transportolycka, ej kollision, motorcyklist, icke specificerad, skadad i olycka, ej trafik-förvärvsarbete",,
W2822,"Kontakt med motordriven gräsklippare-skola, offentlig lokal-förvärvsarbete",,
V2823,"Motorcyklist skadad i transportolycka, ej kollision, motorcyklist, icke specificerad, skadad i olycka, ej trafik-annan sysselsättning",,
W2823,"Kontakt med motordriven gräsklippare-skola, offentlig lokal-annan sysselsättning",,
V2824,"Motorcyklist skadad i transportolycka, ej kollision, motorcyklist, icke specificerad, skadad i olycka, ej trafik-vitalaktivitet",,
W2824,"Kontakt med motordriven gräsklippare-skola, offentlig lokal-vitalaktivitet",,
V2828,"Motorcyklist skadad i transportolycka, ej kollision, motorcyklist, icke specificerad, skadad i olycka, ej trafik-andra aktiviteter",,
W2828,"Kontakt med motordriven gräsklippare-skola, offentlig lokal-andra aktiviteter",,
V2829,"Motorcyklist skadad i transportolycka, ej kollision, motorcyklist, icke specificerad, skadad i olycka, ej trafik-ospec aktiviteter",,
W2829,"Kontakt med motordriven gräsklippare-skola, offentlig lokal-ospec aktiviteter",,
V283,Motorcycle rider injured in noncollision transport accident: Person injured while boarding or alighting,,
V2830,"Motorcyklist skadad i transportolycka, ej kollision, person skadad vid av- och påstigning av motorcykel-idrott",,
W2830,Kontakt med motordriven gräsklippare-idrottsanläggning-idrott,,
V2831,"Motorcyklist skadad i transportolycka, ej kollision, person skadad vid av- och påstigning av motorcykel-lek,fritid",,
W2831,"Kontakt med motordriven gräsklippare-idrottsanläggning-lek,fritid",,
V2832,"Motorcyklist skadad i transportolycka, ej kollision, person skadad vid av- och påstigning av motorcykel-förvärvsarbete",,
W2832,Kontakt med motordriven gräsklippare-idrottsanläggning-förvärvsarbete,,
V2833,"Motorcyklist skadad i transportolycka, ej kollision, person skadad vid av- och påstigning av motorcykel-annan sysselsättning",,
W2833,Kontakt med motordriven gräsklippare-idrottsanläggning-annan sysselsättning,,
V2834,"Motorcyklist skadad i transportolycka, ej kollision, person skadad vid av- och påstigning av motorcykel-vitalaktivitet",,
W2834,Kontakt med motordriven gräsklippare-idrottsanläggning-vitalaktivitet,,
V2838,"Motorcyklist skadad i transportolycka, ej kollision, person skadad vid av- och påstigning av motorcykel-andra aktiviteter",,
W2838,Kontakt med motordriven gräsklippare-idrottsanläggning-andra aktiviteter,,
V2839,"Motorcyklist skadad i transportolycka, ej kollision, person skadad vid av- och påstigning av motorcykel-ospec aktiviteter",,
W2839,Kontakt med motordriven gräsklippare-idrottsanläggning-ospec aktiviteter,,
V284,Motorcycle rider injured in noncollision transport accident: Driver injured in traffic accident,,
V2840,"Motorcyklist skadad i transportolycka, ej kollision, förare skadad i trafikolycka-idrott",,
W2840,Kontakt med motordriven gräsklippare-gata-idrott,,
V2841,"Motorcyklist skadad i transportolycka, ej kollision, förare skadad i trafikolycka-lek,fritid",,
W2841,"Kontakt med motordriven gräsklippare-gata-lek,fritid",,
V2842,"Motorcyklist skadad i transportolycka, ej kollision, förare skadad i trafikolycka-förvärvsarbete",,
W2842,Kontakt med motordriven gräsklippare-gata-förvärvsarbete,,
V2843,"Motorcyklist skadad i transportolycka, ej kollision, förare skadad i trafikolycka-annan sysselsättning",,
W2843,Kontakt med motordriven gräsklippare-gata-annan sysselsättning,,
V2844,"Motorcyklist skadad i transportolycka, ej kollision, förare skadad i trafikolycka-vitalaktivitet",,
W2844,Kontakt med motordriven gräsklippare-gata-vitalaktivitet,,
V2848,"Motorcyklist skadad i transportolycka, ej kollision, förare skadad i trafikolycka-andra aktiviteter",,
W2848,Kontakt med motordriven gräsklippare-gata-andra aktiviteter,,
V2849,"Motorcyklist skadad i transportolycka, ej kollision, förare skadad i trafikolycka-ospec aktiviteter",,
W2849,Kontakt med motordriven gräsklippare-gata-ospec aktiviteter,,
V285,Motorcycle rider injured in noncollision transport accident: Passenger injured in traffic accident,,
V2850,"Motorcyklist skadad i transportolycka, ej kollision, passagerare skadad i trafikolycka-idrott",,
W2850,Kontakt med motordriven gräsklippare-serviceområde-idrott,,
V2851,"Motorcyklist skadad i transportolycka, ej kollision, passagerare skadad i trafikolycka-lek,fritid",,
W2851,"Kontakt med motordriven gräsklippare-serviceområde-lek,fritid",,
V2852,"Motorcyklist skadad i transportolycka, ej kollision, passagerare skadad i trafikolycka-förvärvsarbete",,
W2852,Kontakt med motordriven gräsklippare-serviceområde-förvärvsarbete,,
V2853,"Motorcyklist skadad i transportolycka, ej kollision, passagerare skadad i trafikolycka-annan sysselsättning",,
W2853,Kontakt med motordriven gräsklippare-serviceområde-annan sysselsättning,,
V2854,"Motorcyklist skadad i transportolycka, ej kollision, passagerare skadad i trafikolycka-vitalaktivitet",,
W2854,Kontakt med motordriven gräsklippare-serviceområde-vitalaktivitet,,
V2858,"Motorcyklist skadad i transportolycka, ej kollision, passagerare skadad i trafikolycka-andra aktiviteter",,
W2858,Kontakt med motordriven gräsklippare-serviceområde-andra aktiviteter,,
V2859,"Motorcyklist skadad i transportolycka, ej kollision, passagerare skadad i trafikolycka-ospec aktiviteter",,
W2859,Kontakt med motordriven gräsklippare-serviceområde-ospec aktiviteter,,
W2860,Kontakt med motordriven gräsklippare-industriområde-idrott,,
W2861,"Kontakt med motordriven gräsklippare-industriområde-lek,fritid",,
W2862,Kontakt med motordriven gräsklippare-industriområde-förvärvsarbete,,
W2863,Kontakt med motordriven gräsklippare-industriområde-annan sysselsättning,,
W2864,Kontakt med motordriven gräsklippare-industriområde-vitalaktivitet,,
W2868,Kontakt med motordriven gräsklippare-industriområde-andra aktiviteter,,
W2869,Kontakt med motordriven gräsklippare-industriområde-ospec aktiviteter,,
W2870,Kontakt med motordriven gräsklippare-lantbruksområde-idrott,,
W2871,"Kontakt med motordriven gräsklippare-lantbruksområde-lek,fritid",,
W2872,Kontakt med motordriven gräsklippare-lantbruksområde-förvärvsarbete,,
W2873,Kontakt med motordriven gräsklippare-lantbruksområde-annan sysselsättning,,
W2874,Kontakt med motordriven gräsklippare-lantbruksområde-vitalaktivitet,,
W2878,Kontakt med motordriven gräsklippare-lantbruksområde-andra aktiviteter,,
W2879,Kontakt med motordriven gräsklippare-lantbruksområde-ospec aktiviteter,,
W2880,Kontakt med motordriven gräsklippare-andra områden-idrott,,
W2881,"Kontakt med motordriven gräsklippare-andra områden-lek,fritid",,
W2882,Kontakt med motordriven gräsklippare-andra områden-förvärvsarbete,,
W2883,Kontakt med motordriven gräsklippare-andra områden-annan sysselsättning,,
W2884,Kontakt med motordriven gräsklippare-andra områden-vitalaktivitet,,
W2888,Kontakt med motordriven gräsklippare-andra områden-andra aktiviteter,,
W2889,Kontakt med motordriven gräsklippare-andra områden-ospec aktiviteter,,
V289,Motorcycle rider injured in noncollision transport accident: Unspecified motorcycle rider injured in traffic accident,,
V2890,"Motorcyklist skadad i transportolycka, ej kollision, motorcyklist, icke specificerad, skadad i trafikolycka-idrott",,
W2890,Kontakt med motordriven gräsklippare-ospec område-idrott,,
V2891,"Motorcyklist skadad i transportolycka, ej kollision, motorcyklist, icke specificerad, skadad i trafikolycka-lek,fritid",,
W2891,"Kontakt med motordriven gräsklippare-ospec område-lek,fritid",,
V2892,"Motorcyklist skadad i transportolycka, ej kollision, motorcyklist, icke specificerad, skadad i trafikolycka-förvärvsarbete",,
W2892,Kontakt med motordriven gräsklippare-ospec område-förvärvsarbete,,
V2893,"Motorcyklist skadad i transportolycka, ej kollision, motorcyklist, icke specificerad, skadad i trafikolycka-annan sysselsättning",,
W2893,Kontakt med motordriven gräsklippare-ospec område-annan sysselsättning,,
V2894,"Motorcyklist skadad i transportolycka, ej kollision, motorcyklist, icke specificerad, skadad i trafikolycka-vitalaktivitet",,
W2894,Kontakt med motordriven gräsklippare-ospec område-vitalaktivitet,,
V2898,"Motorcyklist skadad i transportolycka, ej kollision, motorcyklist, icke specificerad, skadad i trafikolycka-andra aktiviteter",,
W2898,Kontakt med motordriven gräsklippare-ospec område-andra aktiviteter,,
V2899,"Motorcyklist skadad i transportolycka, ej kollision, motorcyklist, icke specificerad, skadad i trafikolycka-ospec aktiviteter",,
W2899,Kontakt med motordriven gräsklippare-ospec område-ospec aktiviteter,,
V29,Motorcycle rider injured in other and unspecified transport accidents,,
W29,Contact with other powered hand tools and household machinery,,
